index_value,Company,TypeName,Inches,resolution_width,resolution_height,touchscreen,cpu_brand,cpu_speed,cpu_name,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,Price
1,Apple,Ultrabook,13.3,2560,1600,0,Intel,2.3, Core i5,8,SSD,128,0,Intel,macos,1.37,71379
2,Apple,Ultrabook,13.3,1440,900,0,Intel,1.8, Core i5,8,Flash Storage,128,0,Intel,macos,1.34,47896
3,HP,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Intel,N/A,1.86,30636
4,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.7, Core i7,16,SSD,512,0,AMD,macos,1.83,135195
5,Apple,Ultrabook,13.3,2560,1600,0,Intel,3.1, Core i5,8,SSD,256,0,Intel,macos,1.37,96096
6,Acer,Notebook,15.6,1366,768,0,AMD,3, A9-Series 9420,4,HDD,500,0,AMD,windows,2.1,21312
7,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.2, Core i7,16,Flash Storage,256,0,Intel,macos,2.04,114018
8,Apple,Ultrabook,13.3,1440,900,0,Intel,1.8, Core i5,8,Flash Storage,256,0,Intel,macos,1.34,61736
9,Asus,Ultrabook,14,1920,1080,0,Intel,1.8, Core i7,16,SSD,512,0,Nvidia,windows,1.3,79654
10,Acer,Ultrabook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.6,41026
11,HP,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,4,HDD,500,0,Intel,N/A,1.86,20987
12,HP,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,HDD,500,0,Intel,N/A,1.86,18381
13,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.8, Core i7,16,SSD,256,0,AMD,macos,1.83,130002
14,Dell,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,SSD,256,0,AMD,windows,2.2,26581
15,Apple,Ultrabook,12,2304,1440,0,Intel,1.2, Core M,8,SSD,256,0,Intel,macos,0.92,67261
16,Apple,Ultrabook,13.3,2560,1600,0,Intel,2.3, Core i5,8,SSD,256,0,Intel,macos,1.37,80908
17,Dell,Notebook,15.6,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,AMD,windows,2.2,39694
18,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.9, Core i7,16,SSD,512,0,AMD,macos,1.83,152274
19,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.4, Core i3,8,HDD,1024,0,Nvidia,N/A,2.2,26587
20,Dell,Ultrabook,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,128,0,Intel,windows,1.22,52161
22,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.5, Core i5,8,Hybrid,128,1024,Nvidia,windows,2.5,53227
23,HP,Notebook,15.6,1366,768,0,AMD,1.5, E-Series E2-9000e,4,HDD,500,0,AMD,N/A,1.86,13746
24,Dell,2 in 1 Convertible,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.62,43636
25,HP,Ultrabook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.91,35112
26,Dell,Notebook,15.6,1366,768,0,Intel,2, Core i3,4,HDD,1024,0,Intel,windows,2.3,22305
27,Apple,Ultrabook,13.3,1440,900,0,Intel,1.6, Core i5,8,Flash Storage,128,0,Intel,macos,1.35,58555
28,Dell,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,AMD,windows,2.2,42624
29,Dell,Ultrabook,15.6,1920,1080,0,Intel,1.9, Core i7,8,SSD,256,256,Intel,windows,1.88,69157
30,HP,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,HDD,1024,0,Nvidia,windows,2.5,47739
31,Chuwi,Notebook,15.6,1920,1080,0,Intel,1.4, Atom x5-Z8300,4,Flash Storage,64,0,Intel,windows,1.89,13053
32,Asus,Notebook,14,1366,768,0,AMD,1.5, E-Series E2-6110,2,Flash Storage,32,0,AMD,windows,1.65,10603
33,HP,Notebook,17.3,1920,1080,0,AMD,2.5, A6-Series 9220,4,HDD,500,0,AMD,windows,2.71,23390
34,Dell,Ultrabook,13.3,3200,1800,1,Intel,1.8, Core i7,16,SSD,512,0,Intel,windows,1.2,99580
35,Apple,Ultrabook,13.3,1440,900,0,Intel,1.6, Core i5,8,Flash Storage,256,0,Intel,macos,1.35,53173
36,Lenovo,Notebook,14,1366,768,0,Intel,1.1, Celeron Dual,4,Flash Storage,64,0,Intel,windows,1.44,13267
37,Acer,Notebook,15.6,1366,768,0,Intel,2.7, Core i3,4,HDD,1024,0,Intel,linux,2.1,19554
38,Dell,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,Hybrid,128,1024,AMD,windows,2.8,52161
39,HP,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,4,HDD,1024,0,Intel,windows,1.86,26037
40,HP,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Nvidia,windows,2.1,46833
41,Asus,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,HDD,1024,0,Intel,linux,2,20726
42,Dell,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,2.65,79867
43,Asus,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,8,HDD,1024,0,Nvidia,linux,2.3,27865
44,Acer,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,4,SSD,256,0,Intel,windows,2.2,36337
45,Dell,2 in 1 Convertible,17.3,1920,1080,1,Intel,1.6, Core i5,12,HDD,1024,0,Nvidia,windows,2.77,53227
46,Apple,Ultrabook,13.3,2560,1600,0,Intel,2, Core i5,8,SSD,256,0,Intel,macos,1.37,75604
48,Asus,Gaming,17.3,1920,1080,0,AMD,3, Ryzen 1700,8,Hybrid,256,1024,AMD,windows,3.2,69211
49,Dell,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,4,SSD,256,0,AMD,windows,2.3,34046
50,Asus,Notebook,17.3,1366,768,0,Intel,1.1, Pentium Quad,4,HDD,1024,0,Nvidia,windows,2.8,24828
52,Acer,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Nvidia,windows,2.2,44808
53,HP,Notebook,15.6,1920,1080,0,AMD,2.5, A6-Series 9220,4,SSD,256,0,AMD,windows,1.86,21232
54,HP,Notebook,13.3,1920,1080,0,Intel,1.8, Core i7,8,SSD,512,0,Intel,windows,1.49,58768
55,Acer,Notebook,15.6,1366,768,0,Intel,2.4, Core i3,4,HDD,1024,0,Intel,windows,2.4,20460
56,Dell,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,AMD,windows,2.13,40908
57,HP,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,SSD,128,0,Intel,windows,1.91,23390
58,Asus,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,4,SSD,256,0,Intel,windows,2,31232
59,MSI,Gaming,17.3,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,2048,Nvidia,windows,2.43,130483
60,Asus,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,SSD,256,0,Intel,linux,2,22111
61,Dell,Notebook,17.3,1920,1080,0,Intel,1.8, Core i7,16,Hybrid,256,2048,AMD,windows,2.8,69211
62,Dell,Ultrabook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.7,46833
63,Lenovo,Notebook,14,1920,1080,0,Intel,2.7, Core i3,8,SSD,256,0,Intel,N/A,1.7,31915
64,Asus,Notebook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.4,50136
65,HP,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Intel,windows,1.86,36763
66,Asus,Ultrabook,15.6,1920,1080,0,Intel,2.8, Core i7,16,SSD,512,0,Nvidia,windows,1.8,105654
67,HP,Notebook,15.6,1366,768,0,Intel,2, Core i3,4,HDD,500,0,AMD,windows,1.86,23373
68,HP,Notebook,14,1366,768,0,Intel,1.6, Celeron Dual,4,SSD,32,0,Intel,windows,1.44,12201
69,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,4,HDD,1024,0,Intel,windows,1.9,29251
70,Asus,Gaming,17.3,1920,1080,0,Intel,2.8, Core i7,12,HDD,1024,0,Nvidia,linux,3,50563
71,Microsoft,Ultrabook,13.5,2256,1504,1,Intel,2.5, Core i5,4,SSD,128,0,Intel,windows,1.25,58022
72,Dell,Ultrabook,13.3,1920,1080,0,Intel,1.8, Core i7,64,SSD,256,0,AMD,windows,1.4,50882
73,Dell,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,AMD,windows,2.2,46354
74,MSI,Gaming,17.3,1920,1080,0,Intel,2.5, Core i5,8,Hybrid,128,1024,Nvidia,windows,2.7,58342
75,Acer,Notebook,14,1366,768,0,Intel,2, Core i3,8,HDD,1024,0,Intel,windows,2.1,20726
76,Asus,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,8,HDD,1024,0,Nvidia,windows,2.2,50563
77,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,HDD,2048,0,Intel,N/A,2.2,27652
78,Dell,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,Hybrid,128,1024,Intel,windows,2.02,45554
79,Acer,Notebook,15.6,1920,1080,0,Intel,2.7, Core i3,4,HDD,1024,0,Nvidia,windows,2.2,28238
80,HP,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,Hybrid,128,1024,Nvidia,windows,2.5,52055
81,Dell,Ultrabook,15.6,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.88,58403
82,Apple,Ultrabook,12,2304,1440,0,Intel,1.3, Core i5,8,SSD,512,0,Intel,macos,0.92,80453
83,HP,Notebook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.63,45821
84,Lenovo,Notebook,15.6,1920,1080,0,AMD,2.5, A6-Series 9220,4,SSD,128,0,AMD,windows,2.2,21259
85,Acer,Notebook,15.6,1366,768,0,AMD,3, A9-Series 9420,4,HDD,1024,0,AMD,windows,2.1,21046
86,Dell,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,128,1024,Nvidia,windows,2.65,71875
87,HP,Ultrabook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Nvidia,windows,1.83,37243
88,HP,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Intel,windows,1.96,31914
89,Asus,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,128,1024,Nvidia,windows,2.2,77203
90,Dell,Ultrabook,13.3,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.21,87859
91,Asus,Gaming,15.6,1920,1080,0,AMD,3, FX 9830P,8,HDD,1024,0,AMD,windows,2.45,37243
92,Acer,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,2,HDD,1024,0,Nvidia,windows,2.2,36710
93,HP,Notebook,13.3,1920,1080,0,Intel,1.8, Core i7,16,SSD,512,0,Intel,windows,1.49,63776
94,Dell,Gaming,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Nvidia,windows,2.65,63670
95,Asus,Ultrabook,14,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,Intel,windows,1.25,55891
96,Acer,2 in 1 Convertible,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.5,45128
97,Dell,Notebook,15.6,1920,1080,0,Intel,2.7, Core i7,8,HDD,1024,0,AMD,linux,2.2,31963
98,Dell,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,SSD,256,0,AMD,linux,2.2,25841
99,Asus,Notebook,15.6,1920,1080,0,Intel,2.4, Core i3,6,SSD,256,0,Nvidia,windows,2,30743
100,HP,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,12,Hybrid,128,1024,Nvidia,windows,2.62,66547
101,HP,Notebook,15.6,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,AMD,windows,1.91,38308
102,HP,Notebook,15.6,1920,1080,0,AMD,1.5, E-Series E2-9000e,4,HDD,500,0,AMD,windows,2.1,18595
103,Dell,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,8,HDD,1024,0,AMD,linux,2.2,34472
104,HP,Ultrabook,13.3,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,Nvidia,windows,1.38,59620
105,Microsoft,Ultrabook,13.5,2256,1504,1,Intel,2.5, Core i5,8,SSD,256,0,Intel,windows,1.25,71395
106,HP,Notebook,14,1920,1080,0,Intel,2.5, Core i5,6,SSD,256,0,Nvidia,windows,1.58,35112
107,Lenovo,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,HDD,1024,0,Intel,windows,1.85,22106
108,Asus,Ultrabook,14,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,Nvidia,windows,1.3,63563
109,MSI,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,2.2,69211
110,Lenovo,Notebook,14,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,Intel,windows,1.58,78854
111,Asus,Ultrabook,15.6,1920,1080,0,Intel,1.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,1.5,67239
112,Dell,Ultrabook,13.3,3200,1800,1,Intel,2.4, Core i7,8,SSD,256,0,Intel,windows,1.23,73473
113,Lenovo,2 in 1 Convertible,13.3,1920,1080,1,Intel,2.5, Core i5,8,SSD,256,0,Intel,windows,1.37,74539
114,HP,Notebook,14,1366,768,0,Intel,1.6, Core i5,4,HDD,500,0,Intel,windows,1.63,38468
115,Dell,Ultrabook,13.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.21,86793
117,HP,Notebook,14,1920,1080,0,Intel,1.8, Core i7,8,SSD,512,0,Intel,windows,1.63,57756
118,Dell,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,Hybrid,256,1024,Nvidia,windows,2.16,60224
119,Asus,Notebook,17.3,1920,1080,0,Intel,2, Core i3,4,HDD,1024,0,Nvidia,windows,2,30050
120,Asus,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Nvidia,windows,1.7,59567
121,Acer,Notebook,15.6,1920,1080,1,Intel,2.4, Core i3,6,HDD,1024,0,Intel,windows,2.1,25521
122,MSI,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,2048,Nvidia,windows,1.8,119427
123,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Nvidia,N/A,2.2,33513
124,HP,Notebook,17.3,1920,1080,0,Intel,1.8, Core i7,16,SSD,512,0,Nvidia,windows,2.5,67719
125,Acer,Notebook,15.6,1366,768,0,AMD,3, A9-Series 9420,4,SSD,256,0,AMD,windows,2.1,24029
127,HP,Notebook,14,1920,1080,0,Intel,1.6, Core i5,8,HDD,1024,0,Intel,windows,1.63,43263
128,Asus,Notebook,14,1366,768,0,AMD,1.5, E-Series 6110,4,SSD,64,0,AMD,windows,1.65,14811
129,Dell,Notebook,17.3,1920,1080,0,Intel,1.8, Core i7,16,Hybrid,256,2048,AMD,windows,2.8,74379
130,HP,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,2.5,49444
131,Dell,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,8,HDD,1024,0,AMD,windows,2.36,34045
132,Dell,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,HDD,1024,0,AMD,windows,2.2,23923
133,Acer,Ultrabook,14,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.6,47100
134,Acer,Notebook,15.6,1920,1080,0,Intel,2.7, Core i3,4,SSD,256,0,Nvidia,windows,7.2,30476
135,HP,Notebook,15.6,1366,768,0,Intel,2.7, Core i7,8,HDD,1024,0,Intel,windows,2.05,31861
136,HP,Notebook,14,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.63,52641
137,Lenovo,Notebook,15.6,1366,768,0,Intel,1.1, Celeron Dual,4,HDD,1024,0,Intel,N/A,1.9,13446
138,Asus,Gaming,17.3,1920,1080,0,Intel,2.5, Core i5,8,Hybrid,128,1024,Nvidia,windows,3,49977
139,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,4,HDD,1024,0,Nvidia,N/A,2.2,26587
140,HP,Notebook,13.3,1920,1080,0,Intel,2.5, Core i5,4,SSD,256,0,Intel,windows,1.32,37243
141,Acer,Notebook,17.3,1920,1080,0,Intel,2.7, Core i3,4,HDD,1024,0,Nvidia,windows,3,34898
142,Lenovo,Notebook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,AMD,windows,1.75,59462
143,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,8,SSD,256,0,Nvidia,N/A,2.4,46300
144,Toshiba,Notebook,15.6,1366,768,0,Intel,2.3, Core i5,4,HDD,500,0,Intel,windows,2.1,32075
145,HP,Notebook,15.6,1366,768,0,AMD,2.5, A6-Series 9220,4,SSD,256,0,AMD,windows,1.86,19660
146,Asus,Ultrabook,14,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.25,58555
147,HP,Ultrabook,12.5,3840,2160,1,Intel,1.2, Core M,8,SSD,512,0,Intel,windows,0.97,107306
148,Asus,Notebook,15.6,1920,1080,0,Intel,1.1, Celeron Dual,4,HDD,1024,0,Intel,windows,2,18328
150,Acer,Notebook,15.6,1366,768,0,Intel,2, Core i3,4,HDD,1024,0,Intel,windows,2.1,23816
151,Dell,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,SSD,512,0,Nvidia,windows,2.56,66561
152,Dell,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,8,Hybrid,1024,0,Nvidia,windows,2.62,47899
153,Lenovo,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,4,SSD,128,0,Intel,windows,1.9,26533
154,MSI,Gaming,17.3,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,2.8,100699
155,HP,Ultrabook,14,1920,1080,0,Intel,2.7, Core i5,4,SSD,256,0,Intel,windows,1.48,57649
156,HP,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,6,SSD,256,0,AMD,windows,1.91,32980
157,Lenovo,2 in 1 Convertible,14,1920,1080,1,Intel,2.4, Core i3,4,SSD,256,0,Intel,windows,1.74,33513
158,Asus,2 in 1 Convertible,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.1,70063
159,Dell,2 in 1 Convertible,15.6,1920,1080,1,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.56,55891
160,Toshiba,Notebook,15.6,1366,768,0,Intel,2.2, Core i3,4,HDD,500,0,Intel,windows,2.1,23816
161,Asus,Notebook,15.6,1366,768,0,AMD,3, A9-Series 9420,4,HDD,1024,0,AMD,windows,2.03,21472
162,Acer,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,4,SSD,256,0,Nvidia,windows,3,42890
163,Dell,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,AMD,windows,2.13,38788
164,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,SSD,256,0,Nvidia,windows,2.5,57489
165,Acer,Notebook,15.6,1366,768,0,Intel,1.1, Celeron Dual,4,HDD,1024,0,Intel,windows,2.1,18541
166,MSI,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,2.4,95851
167,Acer,Notebook,15.6,1366,768,0,Intel,1.1, Pentium Quad,4,HDD,1024,0,Intel,windows,2.1,19368
168,Dell,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,8,Hybrid,128,1024,Nvidia,windows,2.56,56503
169,Acer,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Nvidia,windows,3,45501
170,HP,Notebook,13.3,1920,1080,0,Intel,1.6, Core i5,4,HDD,500,0,Intel,windows,1.49,40173
171,Huawei,Ultrabook,13,2160,1440,0,Intel,2.5, Core i5,8,SSD,256,0,Intel,windows,1.05,71875
172,HP,Notebook,17.3,1920,1080,0,Intel,2.5, Core i5,6,HDD,2048,0,AMD,windows,2.71,37243
173,Lenovo,Notebook,15.6,1366,768,0,AMD,2.9, A6-Series 9220,4,HDD,500,0,AMD,N/A,2.2,16464
174,Toshiba,Notebook,15.6,1366,768,0,Intel,2.4, Core i3,4,HDD,500,0,Intel,windows,5.4,26054
175,HP,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Nvidia,windows,2.5,49177
176,Dell,Notebook,15.6,1366,768,0,Intel,2.4, Core i3,8,HDD,1024,0,Intel,windows,2.3,24456
177,Acer,Notebook,15.6,1366,768,0,Intel,2, Core i3,4,SSD,128,0,Intel,windows,2.1,23923
178,MSI,Gaming,18.4,1920,1080,0,Intel,2.9, Core i7,32,Hybrid,512,1024,Nvidia,windows,4.4,149131
179,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,Hybrid,128,1024,AMD,windows,1.9,43317
180,HP,2 in 1 Convertible,13.3,3840,2160,1,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.29,79867
181,Dell,Notebook,15.6,1920,1080,0,Intel,1.8, Core i7,16,Hybrid,256,2048,AMD,linux,2.02,55891
182,Dell,Ultrabook,13.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.23,74539
183,Lenovo,2 in 1 Convertible,13.9,3840,2160,1,Intel,1.8, Core i7,16,SSD,512,0,Intel,windows,1.4,98515
184,Toshiba,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,8,SSD,128,0,Intel,windows,2,42251
185,Xiaomi,Notebook,15.6,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Nvidia,N/A,1.95,63883
186,Dell,Notebook,17.3,1920,1080,1,Intel,1.8, Core i7,16,SSD,512,0,Nvidia,windows,2.77,82531
187,Dell,Notebook,15.6,3840,2160,1,Intel,2.8, Core i7,16,SSD,512,0,Nvidia,windows,2.06,127712
188,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Nvidia,N/A,2.4,41505
189,Acer,Ultrabook,13.3,1920,1080,0,Intel,1.2, Core i5,8,SSD,256,0,Intel,windows,1.12,52694
190,Dell,Notebook,17.3,1920,1080,0,Intel,1.8, Core i7,8,Hybrid,128,1024,AMD,windows,2.8,57809
192,Vero,Notebook,14,1920,1080,0,Intel,1.1, Celeron Dual,4,Flash Storage,32,0,Intel,windows,1.3,13853
193,Xiaomi,Ultrabook,13.3,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Nvidia,N/A,1.3,53275
194,Lenovo,Notebook,17.3,1600,900,0,Intel,1.6, Core i5,8,SSD,256,0,Nvidia,N/A,2.8,37189
195,Dell,2 in 1 Convertible,13.3,1920,1080,1,Intel,1.8, Core i7,8,HDD,1024,0,Intel,windows,1.62,44702
196,HP,Notebook,17.3,1920,1080,0,Intel,1.6, Core i5,8,HDD,1024,0,Nvidia,windows,2.5,48698
197,Razer,Gaming,17.3,3840,2160,1,Intel,2.9, Core i7,32,SSD,1024,0,Nvidia,windows,3.49,324955
198,HP,Notebook,13.3,1920,1080,0,Intel,1.6, Core i5,8,SSD,512,0,Intel,windows,1.49,51096
199,HP,Gaming,17.3,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,256,1024,Nvidia,windows,3.35,73473
200,HP,Notebook,17.3,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Nvidia,windows,2.5,55678
201,Dell,Gaming,15.6,3840,2160,0,Intel,2.8, Core i7,16,Hybrid,512,1024,Nvidia,windows,2.65,98302
202,Lenovo,Notebook,15.6,1366,768,0,Intel,2.3, Core i5,4,SSD,128,0,Intel,windows,2.1,26267
203,Acer,Notebook,15.6,1920,1080,0,Intel,2.7, Core i7,8,HDD,1024,0,Nvidia,windows,2.23,39534
204,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,Hybrid,512,1024,Nvidia,windows,3.2,93187
205,Dell,Workstation,15.6,3840,2160,0,Intel,3, Xeon E3-1505M,16,Hybrid,256,1024,Nvidia,windows,2.8,162770
206,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.8, Core i7,16,SSD,512,0,Nvidia,N/A,2.4,74485
207,Dell,Notebook,15.6,1366,768,1,Intel,2.4, Core i3,6,HDD,1024,0,Intel,windows,2.3,23390
208,Dell,Ultrabook,13.3,3840,2160,1,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.21,103843
209,Dell,Ultrabook,13.3,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,0,77203
